2(3).Resampled(3).Label-Analysis(3),,,,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,Materials,,,,,
125440,12495.1,62.1078,2799.68,3088.33,1087.48,251,,,,,,62.1078
1856,700.501,15.2473,2866.4,3635.1,1060.45,252,,,,,,15.2473
3008,1005.62,17.9099,3066.62,4117.49,1059.44,253,,,,,,17.9099
6656,2085.28,23.3384,3431.8,4413.22,1067.09,254,,,,,,23.3384
1600,628.696,14.5113,3810.8,4537.34,1058.77,255,,,,,,14.5113
27392,4633.34,37.4003,2335.25,1343.97,1076.53,256,,,,,,37.4003
31360,4904.89,39.1254,2332.38,1392.68,1077.82,257,,,,,,39.1254
4032,1225.95,19.7473,2787.02,1632.56,1067.06,258,,,,,,19.7473
7872,1903.2,24.681,3247.09,1687.36,1068.26,259,,,,,,24.681
25920,4333.52,36.718,2622.37,1896.54,1073.4,260,,,,,,36.718
3200,1007.32,18.2831,2738.64,2029.26,1064.77,261,,,,,,18.2831
19712,3895.21,33.5154,3739.37,3257.65,1080.45,262,,,,,,33.5154
1664,667.416,14.7023,3936.8,3315.56,1064.47,263,,,,,,14.7023
3392,1167.56,18.6417,2402.35,3581.9,1065.65,264,,,,,,18.6417
5696,1530.01,22.1577,3438.15,3615.15,1069.85,265,,,,,,22.1577
1984,732.225,15.5901,2185.92,4211.36,1062.67,266,,,,,,15.5901
4352,1264.77,20.2565,3011.19,4482.81,1069.23,267,,,,,,20.2565
1792,703.718,15.07,3740.38,4604.25,1066.22,268,,,,,,15.07
2112,777.245,15.9184,2883.2,4680.56,1066.33,269,,,,,,15.9184
2112,774.265,15.9184,3473.38,4923.47,1066.33,270,,,,,,15.9184
1344,575.193,13.692,3100.1,5091.29,1064.65,271,,,,,,13.692
3008,990.167,17.9099,3984.66,1091.19,1071.27,272,,,,,,17.9099
11648,2751.65,28.1245,2334.32,1431.76,1078.69,273,,,,,,28.1245
48128,6472.32,45.1301,2746.54,1714.86,1082.95,274,,,,,,45.1301
3776,1150.44,19.3202,2857.4,1893.54,1072.49,275,,,,,,19.3202
1856,766.123,15.2473,2503.37,1960.21,1069.14,276,,,,,,15.2473
5568,1507.57,21.9904,2872.43,2866.18,1071.58,277,,,,,,21.9904
