chushi.resampled.Label-Analysis,,,,,,,,,
Volume3d (?m^3) ,Area3d (?m^2) ,EqDiameter (?m) ,BaryCenterX (?m) ,BaryCenterY (?m) ,BaryCenterZ (?m) ,index,,,
4160,1234.84,19.9541,2661.6,3780.76,1108.96,336,,,19.9541
3264,1193.79,18.4042,3524.13,3830.32,1109.52,337,,,18.4042
3840,1151.65,19.4287,2410.16,4356.44,1111.33,338,,,19.4287
1728,669.964,14.8884,3552.59,4589.62,1106.78,339,,,14.8884
603200,49761.8,104.83,3216.87,4617.94,1155.18,340,,,104.83
1536,616.054,14.3152,2219.79,4862.1,1106.93,341,,,14.3152
2240,826.322,16.2337,3850.84,974.646,1114.02,342,,,16.2337
1344,575.964,13.692,2365.24,1283.67,1110.93,343,,,13.692
3904,1213.21,19.5361,2479.15,1354.77,1115.59,344,,,19.5361
1856,717.467,15.2473,2491.78,1635.65,1112.17,345,,,15.2473
66304,8369.3,50.2166,2407.98,2490.44,1133.17,346,,,50.2166
3840,1191.14,19.4287,3759.82,2603.17,1114.2,347,,,19.4287
4352,1268.09,20.2565,2653.84,3014.87,1114.81,348,,,20.2565
1600,655.572,14.5113,3282,4194.14,1113.49,349,,,14.5113
1344,556.76,13.692,3782.96,4280.44,1110.55,350,,,13.692
1472,589.74,14.1136,2210.96,4292.32,1110.76,351,,,14.1136
188160,18545.7,71.0956,2983.05,4345.39,1141.11,352,,,71.0956
1920,718.319,15.4206,2853.22,4690.84,1114.13,353,,,15.4206
76096,9509.11,52.576,3509.46,4914.67,1134.4,354,,,52.576
1664,662.188,14.7023,3097.26,5104.33,1112.47,355,,,14.7023
2432,888.728,16.6848,3791.38,1100.05,1117.14,356,,,16.6848
14016,2857.51,29.9141,3755.03,1641.35,1126.2,357,,,29.9141
21568,3861.28,34.5359,3592.14,2013.6,1128.63,358,,,34.5359
25920,4744.52,36.718,3694,2989.95,1129.84,359,,,36.718
3264,1065.16,18.4042,2306.09,3531.65,1119.01,360,,,18.4042
1600,640.434,14.5113,2932.72,4086.14,1116.69,361,,,14.5113
244992,20448.2,77.6339,2310.85,4375.12,1147.71,362,,,77.6339
1408,574.603,13.906,2676.05,4778.56,1114.75,363,,,13.906
1536,615.948,14.3152,3171.79,1411.1,1119.43,364,,,14.3152
11968,2702.2,28.3797,2411.75,1522.91,1125.5,365,,,28.3797
6400,1712.02,23.0353,3186.2,1533.74,1126.25,366,,,23.0353
2304,805.158,16.3868,2297.29,1985.66,1120.82,367,,,16.3868
276160,29676.4,80.7956,3126.93,2061.42,1158.41,368,,,80.7956
11520,2539.36,28.0211,3529.31,3434.66,1126.51,369,,,28.0211
1600,633.714,14.5113,2504.56,3835.42,1119.57,370,,,14.5113
5888,1594.43,22.4039,3188.13,4032.71,1123.67,371,,,22.4039
5888,1561.5,22.4039,2860.17,4078.62,1124.41,372,,,22.4039
5184,1417.33,21.4728,3319.15,4239.2,1122.14,373,,,21.4728
